id;issue_code;channel;total_confirmed_qty;issue_type;created_date;created_by;is_manual_create;issue_to_name;department;issue_to_address;issue_to_phone;status;general_note;modified_by;modified_date;is_active;total_remaining_qty;total_actual_exported_qty;issue_date;warehouse_from_code;warehouse_to_code
1;IB Virtual;WM_WFS;37833;SALES_ORDERS;2023-02-08T07:28:45;Bike Practical Illinois;false;back-end;WHOLESALE;Car reinvent;Sausages Associate;CONFIRMED;Ports Coordinator Brand;Assistant;2023-02-07T10:51:03;false;39730;28947;2023-02-07T10:57:33;bifurcated;Korea Electronics
2;supply-chains teal;AVC_WH_DI;58484;OTHER;2023-02-07T20:47:35;generate;false;microchip;WHOLESALE;Bacon Account system;quantifying;NEW;invoice Account Nevada;1080p Loan;2023-02-08T05:14:19;false;48107;14691;2023-02-08T02:59:52;ivory;Metal Florida Shoes
3;Handcrafted frame;ASC_FBM;64937;ADJUST_DECREASE;2023-02-07T17:14:07;help-desk Wooden;true;Kiribati;RETURN;communities blue;web-readiness Granite Fresh;CONFIRMED;of Shoes card;deliver Rhode;2023-02-08T05:12:59;false;55077;25304;2023-02-07T16:56:14;system-worthy Wooden IB;firewall
4;Colorado Account Inlet;ASC_FBM;65394;ADJUST_DECREASE;2023-02-07T16:58:12;capacitor Tala;false;Lodge 1080p Dynamic;RECEIVING;South;parsing withdrawal;APPROVED;Expanded Square Account;homogeneous capacity;2023-02-07T12:13:58;true;9773;36685;2023-02-08T03:55:34;deposit;bypass Investor Future
5;Product Future;LOCAL;49120;ADJUST_DECREASE;2023-02-07T21:28:57;Savings Tasty;true;navigate Ohio Wooden;RETURN;rich;Fish Alaska;COMPLETED;firmware infrastructure;neural European;2023-02-07T08:33:27;true;74146;91425;2023-02-08T06:13:58;moratorium complexity Oklahoma;SSL Avon
6;extensible Frozen Hat;LOCAL;38875;ADJUST_DECREASE;2023-02-07T23:44:52;violet microchip;true;Sleek;RETURN;USB;Bedfordshire Fish;APPROVED;synergies demand-driven Federation;Regional Missouri withdrawal;2023-02-07T22:04:04;false;73187;25986;2023-02-07T18:14:51;cross-platform Accountability;wireless Corners homogeneous
7;Liaison Fantastic Bedfordshire;WM_WFS;47546;OTHER;2023-02-07T08:15:50;extensible Bike;false;incentivize connect;RETURN;alarm application;architectures support Borders;APPROVED;Auto;quantify port engineer;2023-02-08T04:47:31;false;70490;68189;2023-02-07T22:27:49;Shoes;withdrawal Afghanistan Virginia
8;Associate Avon Garden;AVC_WH_DI;26813;EXTERNAL_TRANSFER;2023-02-08T05:16:13;Industrial Movies;false;EXE Market Customer;RETURN;experiences invoice mobile;content quantify;APPROVED;database;Key Plastic;2023-02-07T22:15:44;true;23252;22341;2023-02-08T07:14:29;withdrawal;initiatives Facilitator
9;International Cambridgeshire circuit;AVC_WH_DI;39533;OTHER;2023-02-07T22:12:05;circuit;false;Carolina Carolina Pants;RETAIL;Awesome;Bedfordshire Tonga;NEW;Car Tasty mesh;Awesome Analyst Implemented;2023-02-08T00:55:22;false;46213;82212;2023-02-08T00:44:04;Grocery Uganda coherent;JSON
10;Sleek Tasty International;ASC_FBM;92699;INTERNAL_TRANSFER;2023-02-07T14:35:54;Stand-alone synthesize;true;Facilitator CFA auxiliary;RECEIVING;Loan;magenta;COMPLETED;virtual intuitive;XSS;2023-02-08T03:47:52;false;31719;89860;2023-02-07T09:38:52;array Account;Intelligent Dam maximize
