id;asin;inbound_code;outbound_code;product_title;sku;wip_quantity_before;pku_quantity_before;total_quantity_before;wip_quantity_after;pku_quantity_after;total_quantity_after
1;portals communities;Pass Books Alabama;Money Vision-oriented compressing;Self-enabling Central;Berkshire;29638;20031;84285;63229;77678;9112
2;Arkansas;withdrawal Oman;HTTP Towels virtual;Account invoice e-commerce;online Jamaica Avon;44285;58551;10654;33449;82544;42805
3;Summit success Consultant;Botswana Dynamic;envisioneer;Rubber alarm;Savings cross-platform USB;26746;89962;62909;41029;51496;4457
4;Texas;Gloves America synthesizing;Bike Luxembourg;end-to-end functionalities Chief;hacking auxiliary;41029;66493;95557;45119;13549;9478
5;matrix Malaysia relationships;Customer Executive PNG;Outdoors;Practical Soap;Rubber Hat Metal;72259;45137;33302;21943;9118;29132
6;Account bypass;Rubber Engineer;Dominica Hawaii synergistic;hierarchy;withdrawal parse payment;83091;26342;28909;75224;41713;17633
7;Managed;Wyoming payment;copy Customer Table;Ramp scalable exuding;24 deliver;34197;12521;26661;91839;81383;52865
8;Gloves bypass connecting;transmitter Concrete;Tuna innovate;Netherlands Liaison transmitting;JSON Dynamic Borders;36511;31933;78923;55990;82838;78167
9;Vatu deliverables;magenta schemas web-readiness;Home Sausages Future-proofed;deposit;granular overriding;76499;7720;38908;90615;20285;60309
10;extend;Practical Motorway;Brunei Implemented payment;SAS Designer Cheese;Saint driver Coordinator;40413;28898;56417;22529;66223;64540
