id;warehouse_code;status;adjustment_code;total_sku;date_created;created_by;reason;note
1;cross-platform Hat Home;COMPLETED;microchip 1080p Hat;64034;2023-03-19T18:34:41;throughput;SYSTEM_CORRECTION;responsive front-end
2;Account SSL Orchestrator;COMPLETED;Avon Enterprise-wide;53298;2023-03-19T17:01:47;Sausages Metal compressing;DAMAGED_INVENTORY;Clothing
3;paradigm Litas neural;COMPLETED;scale;86723;2023-03-19T07:07:31;visionary cross-platform;MANUAL_PI_AVC_DS;functionalities
4;Bedfordshire;COMPLETED;HDD Investment;58241;2023-03-19T14:43:16;Steel;SYSTEM_CORRECTION;synthesize actuating multi-state
5;redundant;COMPLETED;Investor;25323;2023-03-19T10:14:21;compress;MANUAL_PI_FBM;Home European Mouse
6;brand Security Anguilla;COMPLETED;Rustic;72699;2023-03-20T03:10:36;Lead transmitter deposit;MANUAL_PI_FBM;quantifying
7;extend Synergized Cayman;COMPLETED;Universal Manager;63201;2023-03-19T12:02:13;cross-platform Digitized Steel;MISPLACED_FOUND;Borders Shore
8;experiences Soft Viaduct;COMPLETED;Adaptive;33459;2023-03-19T14:26:22;sensor parsing system-worthy;DAMAGED_INVENTORY;Gloves Lakes strategize
9;Account;COMPLETED;AI;41139;2023-03-19T15:23:17;orange;MANUAL_PI_LOCAL;mission-critical technologies
10;Intranet Legacy 1080p;COMPLETED;Wooden;19552;2023-03-19T07:43:54;eco-centric Card protocol;MANUAL_PI_AVC_DS;Operations
