id;product_id;sku;warehouse_code;warehouse_id;user_id;quantity_before;quantity_after;type;reference_id;note;updated_at
1;67960;South Cotton;complexity Sports sensor;41604;neural Small;84472;24485;engage e-business Loop;53890;interface Face;2023-02-08T02:17:25
2;5611;Antilles Cheese Music;New;86480;Salad;61056;12410;stable Graphic Berkshire;61833;Security Kuwait;2023-02-07T13:56:37
3;12290;Central;Guinea-Bissau SQL technologies;37016;Sausages architect Pennsylvania;56736;76173;deposit;60436;withdrawal;2023-02-07T15:47:28
4;59775;grid-enabled Berkshire;Home upward-trending proactive;72622;e-business;52184;3040;Steel Bike Granite;16820;Manager Account;2023-02-08T03:04:20
5;15359;aggregate Crossroad Dollar;Beauty;30772;Keyboard seamless Leu;19875;93589;Anguilla Shoes;40456;Real;2023-02-08T07:39:59
6;49016;brand Strategist;optical Account;37666;Bacon;40730;97681;withdrawal back-end;21460;action-items;2023-02-08T06:01:38
7;82165;overriding neural;cutting-edge;34587;Port;67078;24938;Cocos Metal Cotton;41022;bandwidth invoice;2023-02-07T22:35:20
8;85186;definition;Sausages;25821;multi-byte matrices;42323;71715;parsing Toys;22218;Dollar black revolutionary;2023-02-07T12:43:49
9;94125;Product Chair;Chips B2C;31061;overriding;19391;83868;deliver deliver program;4520;calculating;2023-02-08T01:32:10
10;89567;withdrawal Grocery navigating;Liaison Bacon;60258;AI Small;66340;20677;Auto Tuna Concrete;79462;Fresh Pizza grow;2023-02-07T13:50:01
