id;warehouse_code;sku;product_title;ovs_quantity;pku_quantity;wip_quantity;total;pickup_row;pku_location
1;vortals Granite blue;Intelligent Cambridgeshire;Tuna orchid withdrawal;43538;35342;5263;61160;distributed dedicated lime;Island salmon
2;24/365 multi-tasking Chips;Connecticut frictionless;optical Peso;30288;36735;15178;52823;multi-byte primary;Tools Fresh Designer
3;transitional payment TCP;Samoa Colorado Central;mission-critical background Account;65129;33559;26444;84208;Investor;blue Ethiopia Agent
4;Vatu silver architect;Wisconsin;Lempira Shoes Soap;78461;26139;64597;57293;Account even-keeled Optimized;HDD
5;Sleek;bottom-line Generic object-oriented;incentivize Markets front-end;66363;19556;60985;5222;Granite open-source;Gorgeous
6;Tactics maximize Fresh;RSS Small Walks;monitor Branding optical;2308;51663;60709;9004;uniform maximize;toolset
7;Producer azure Granite;engineer;generating;18166;79500;53140;51787;Product FTP;Qatari Assistant
8;navigating bus back-end;Officer innovative;Garden Steel;91217;60465;89496;14925;red;up Health Account
9;Sausages synthesizing;Albania;Dobra Human Granite;72224;39020;72184;28414;Facilitator Bacon reboot;Cheese architect
10;alarm;Carolina Baby reboot;turquoise Berkshire Bike;60133;45292;6812;14687;Outdoors;area productize
